first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
Georges-Kévin,Nkoudou,0,0,11,223,2,49.3,26,41,0,21,11.2,1,0,1,0,53,
Nick,Pope,0,0,152,3114,35,40,862.4,0,19,701,90.1,11,0,3,10.1,50,
Chris,Wood,10,1,104,1621,11,203.5,442,692,20,314,133.8,10,0,1,1.7,62,
Adam,Legzdins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,40,
Anders,Lindegaard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,40,
Fredrik,Ulvestad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,
Aiden,O'Neill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,
Dwight,McNeil,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,45,
Olivier,Giroud,7,1,77,981,11,311.1,307,673,10,273,129,5,0,0,3.7,84,
Thibaut,Courtois,0,0,136,3150,34,0,549,0,4,635,55.2,15,0,2,10.3,53,
Eduardo,dos Reis Carvalho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,47,
Willy,Caballero,0,0,11,270,4,0,55.2,0,0,54,5.5,1,0,0,0.1,48,
César,Azpilicueta,2,6,175,3330,38,535.7,967.4,168,25,913,167.5,15,0,1,21,69,
Gary,Cahill,0,0,74,2082,27,55.6,496.6,99,2,447,65.4,9,1,1,3,62,
Marcos,Alonso,7,2,165,2855,30,549.6,697.8,822,15,650,207.1,13,0,6,16.2,71,
David,Luiz Moreira Marinho,1,2,32,838,13,22.3,210.2,65,0,186,29.6,3,1,3,8.1,57,
Victor,Moses,3,6,131,2109,20,358.1,417,482,9,486,125.9,11,0,3,2.9,65,
Antonio,Rüdiger,2,1,115,2336,22,83,546.6,217,8,557,84.8,12,0,4,3.3,58,
Eden,Hazard,12,6,173,2417,27,1127.3,928,1115,24,699,317.3,12,0,2,6.4,105,
Cesc,Fàbregas,2,4,89,2300,26,1349.3,713.8,485,7,539,254.9,11,1,4,3.1,68,
Willian,Borges Da Silva,6,8,130,1874,19,891.5,640,715,13,522,224.5,9,0,1,12.6,70,
Pedro,Rodríguez Ledesma,4,2,81,1511,14,410,338.4,498,2,272,124.6,8,0,1,1,77,
N'Golo,Kanté,1,2,101,2994,32,638.2,676,199,9,655,151.7,16,0,3,11.7,49,
Michy,Batshuayi,2,1,25,351,7,39,99.4,123,3,77,25.7,1,0,0,0.5,81,
Diego,Da Silva Costa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,95,
Ross,Barkley,0,0,3,129,4,34.7,21,45,0,11,10.1,0,0,0,0.2,73,
Kasey,Palmer,0,0,4,168,2,25.6,20,27,0,9,7.2,1,0,2,0,53,
Daniel,Drinkwater,1,0,24,520,7,88.1,116.4,54,1,117,25.7,1,0,0,0.2,47,
Tiemoué,Bakayoko,2,2,77,2121,24,279.5,415.4,434,5,346,113.2,11,1,3,1.2,49,
Andreas,Christensen,0,0,79,2067,23,66.5,466.6,109,4,475,64.3,8,0,0,1.9,53,
Charly,Musonda,0,1,6,35,0,18.5,20.6,14,0,15,5,0,0,0,0,48,
Álvaro,Morata,11,6,122,2055,19,478.9,620.6,1192,13,356,228.8,11,0,7,7.6,104,
Fikayo,Tomori,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,
Kyle,Scott,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,43,
Jeremie,Boga,0,0,1,17,0,1,0,0,0,1,0,0,0,0,0,60,
Davide,Zappacosta,1,1,58,1087,15,245.3,255.2,329,1,226,82.6,5,0,0,0.2,59,
Ethan,Ampadu,0,0,1,10,1,0,7.4,0,0,6,0.7,0,0,0,0,45,
Callum,Hudson-Odoi,0,0,2,27,1,1.7,8.8,27,0,11,3.8,0,0,0,0,45,
Dujon,Sterling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,
Emerson,Palmieri dos Santos,0,1,14,278,4,28.7,61.8,48,0,68,13.8,1,0,0,0.1,52,
Trevoh,Chalobah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,
Ruben,Loftus-Cheek,2,5,77,1871,30,377,379.2,487,2,337,124.5,6,0,1,3.5,44,
Wayne,Hennessey,0,0,99,2430,41,10,603.8,0,11,506,61.4,7,0,1,3.1,44,
Julian,Speroni,0,0,36,990,14,0,213.6,0,3,175,21.3,2,0,0,2.9,40,
James,Tomkins,3,0,99,2386,32,22.4,712.6,309,9,512,104.7,9,0,8,4.4,44,
Scott,Dann,1,0,32,1434,26,62.3,342.2,268,0,211,67,1,0,4,0.3,46,
Joel,Ward,0,1,41,1613,25,163.5,340.6,58,0,276,56.3,4,0,4,0.2,47,
Martin,Kelly,0,0,34,1193,21,25.7,222.6,84,1,185,33.3,4,0,1,0.6,41,
Damien,Delaney,0,0,1,95,5,0.3,40,0,0,19,4,0,0,0,0.2,42,
Pape,Souaré,0,0,1,8,0,1.1,0.2,0,0,3,0.1,0,0,0,0,45,
Jeffrey,Schlupp,0,2,50,1742,30,189.7,339.6,155,0,281,68.6,3,0,3,0.2,47,
Patrick,van Aanholt,5,1,95,2182,38,303.8,537,319,7,448,116.3,6,0,7,3.1,52,
Jason,Puncheon,0,0,11,574,14,93.9,46.4,112,0,38,25.1,0,0,5,0.3,44,
Wilfried,Zaha,9,7,136,2549,31,716.9,668,1125,8,404,251,10,0,5,10.6,71,
James,McArthur,5,2,101,2425,35,333,490.6,566,9,416,138.9,7,0,5,4.7,44,
Chung-yong,Lee,0,0,8,131,3,32,4.4,10,0,23,4.6,0,0,0,0.3,42,
Yohan,Cabaye,0,4,73,2374,36,754,431.2,348,3,415,153.5,8,0,7,0.2,53,
Bakary,Sako,3,0,36,466,10,103.1,143.2,227,1,115,46.9,1,0,0,0.1,48,
Andros,Townsend,2,9,121,3120,48,1012.1,626,587,7,552,222.8,9,0,3,1.4,56,
Luka,Milivojevic,10,2,144,3079,52,379,873.8,432,21,630,168.6,8,0,8,13.5,52,
Connor,Wickham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,
Christian,Benteke,3,7,84,2234,36,406.7,325.2,845,5,174,157.5,6,0,6,2.5,75,
Mamadou,Sakho,1,2,81,1597,23,30.7,426.2,77,18,405,53.6,6,0,1,1,46,
Timothy,Fosu-Mensah,0,0,39,1592,29,103.7,326.6,43,3,279,47.4,2,0,2,1,44,
Jairo,Riedewald,0,0,23,435,6,21.5,74.4,12,0,100,10.6,2,0,0,0.1,46,
Jason,Lokilo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,43,
Olayinka Fredrick Oladotun,Ladapo,0,0,1,16,1,1.1,0.4,0,0,3,0.2,0,0,0,1,45,
Sullay,Kaikai,0,0,1,13,0,0.3,5.2,0,0,5,0.6,0,0,0,0.1,43,
Keshi,Anderson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,45,
Levi,Lumeka,0,0,1,25,0,0.5,4.2,18,0,3,2.3,0,0,0,0,44,
Jordon,Mutch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,
Dion,Henry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,40,
Aaron,Wan-Bissaka,0,0,15,627,10,60,207.2,2,0,116,26.8,2,0,1,0,45,
Jaroslaw,Jach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,
Erdal,Rakip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,
Alexander,Sørloth,0,0,8,360,9,74,48.6,102,0,25,22.5,0,0,0,0.1,54,
Nya,Kirby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,
Diego,Cavalieri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,
James,Daly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,45,
Theo,Walcott,3,3,62,1214,17,234.9,316.6,406,3,226,95.9,4,0,2,2.1,66,
Jordan,Pickford,0,0,145,3420,58,30.1,873.6,4,16,724,90.7,10,0,0,8.3,49,
Joel,Robles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,42,
Maarten,Stekelenburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,42,
Leighton,Baines,2,3,82,1909,34,373.5,407.4,102,10,381,88.2,5,0,1,4,57,
Seamus,Coleman,0,1,39,1035,12,113.7,227.6,69,0,198,41.2,4,0,0,0.5,64,
Phil,Jagielka,0,0,60,2063,39,24.1,529.2,108,5,415,66.2,6,0,2,2.7,47,
Matthew,Pennington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,40,
Ramiro,Funes Mori,0,0,3,119,2,0.9,29.2,6,0,14,3.6,0,0,1,0,49,
Ashley,Williams,1,0,56,1830,31,39,518,132,3,332,68.9,5,1,3,2.1,52,
Mason,Holgate,0,0,37,1183,14,93.9,285.8,105,0,214,48.5,4,0,3,1,40,
Jonjoe,Kenny,0,2,50,1589,31,184.5,362.4,47,2,309,59.5,5,0,2,2.1,39,
Michael,Keane,0,1,81,2559,46,58.4,703.4,124,11,513,88.7,7,0,3,5.1,53,
Yannick,Bolasie,1,1,35,848,14,109,98.6,204,0,80,40.8,3,0,0,0.2,64,
Kevin,Mirallas,0,0,5,135,8,20.2,16.4,42,0,19,7.9,0,0,1,0.8,60,
James,McCarthy,0,0,6,204,6,19.3,33.8,4,0,41,5.8,0,0,0,0,49,
Muhamed,Besic,0,0,2,46,0,11.5,18.2,0,0,10,3,0,0,0,0.1,42,
Morgan,Schneiderlin,0,0,52,2124,38,159.2,361.2,52,1,344,57.2,6,1,4,0.5,47,
Idrissa,Gueye,2,2,87,2749,45,303.6,577,166,7,552,104.6,9,1,6,0.9,48,
Tom,Davies,2,2,66,1892,24,207.2,242.8,218,3,223,65.8,6,0,7,0.4,51,
Ademola,Lookman,0,1,10,153,6,20.5,12,43,0,30,7.5,0,0,0,0.1,51,
Davy,Klaassen,0,0,7,248,6,33.7,23,28,0,18,8.3,0,0,0,0.4,69,
Dominic,Calvert-Lewin,4,8,88,1871,28,322.6,354,630,3,255,130.2,6,0,4,3.5,49,
Sandro,Ramírez,0,0,10,275,7,28.3,8.8,67,0,21,9.8,1,0,0,0.4,70,
Wayne,Rooney,10,3,113,2265,33,573.7,585,467,20,480,162.4,7,0,5,9.3,71,
Gylfi,Sigurdsson,4,4,96,2257,40,614.9,485.6,437,8,396,154,6,0,2,1.9,80,
Cuco,Martina,0,2,55,1830,30,238.8,468.8,39,0,367,74.9,5,0,2,1.1,41,
Eliaquim,Mangala,0,0,22,617,7,19.9,113.8,32,0,118,16.8,2,0,0,0.1,50,
Nikola,Vlasic,0,0,18,572,12,159.1,91.8,85,0,80,33.6,1,0,0,0,53,
Oumar,Niasse,8,3,83,1076,23,159.2,370.6,634,14,248,115.2,0,0,2,5,46,
Beni,Baningime,0,0,7,192,2,3.8,9.4,0,0,20,1.3,0,0,1,0,45,
Cenk,Tosun,5,0,55,984,13,226.4,232.4,304,9,192,75.6,4,0,0,2.1,67,
Luke,Garbutt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,
Joel,Coleman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,39,
Jonas,Lössl,0,1,135,3420,58,30,846.8,0,11,701,87.8,10,0,1,6.8,46,
Christopher,Schindler,0,2,102,3264,53,107.1,928,149,15,692,119.1,9,1,6,3.2,46,
Chris,Löwe,0,0,60,1585,26,125.5,266,39,0,321,43,7,0,1,1.1,44,
Tommy,Smith,0,1,50,1902,31,251.6,322,50,2,311,62.8,5,0,7,0.2,47,
Michael,Hefele,0,0,1,32,1,0.1,4,0,0,1,0.4,0,0,1,0.1,42,
Martin,Cranie,0,0,2,179,7,1.7,44,2,0,35,4.7,0,0,0,0.2,40,
Jon Gorenc,Stankovic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,39,
Mark,Hudson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,40,
Mathias,Jorgensen,0,3,107,3420,58,123.6,768.6,169,9,623,106.2,10,0,6,6.6,45,
Aaron,Mooy,4,3,113,3066,52,848.8,753.2,350,8,576,195.2,10,0,4,4.7,52,
Rajiv,van La Parra,3,0,74,2131,36,261.6,322.6,544,3,240,112.7,6,1,3,0.4,44,
Jonathan,Hogg,0,0,53,2396,40,172.8,475,61,0,400,71.2,7,1,8,0.2,44,
Philip,Billing,0,0,22,755,11,58.6,111.4,26,0,98,19.3,3,0,3,0.2,44,
Joe,Lolley,1,0,11,217,5,20,50.6,47,0,28,11.8,0,0,1,0.1,43,
Jack,Payne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,
Dean,Whitehead,0,0,4,68,3,1.1,6.6,0,0,16,0.8,0,0,0,0.1,42,
Harry,Bunn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,
Sean,Scannell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,
Elias,Kachunga,1,1,46,1327,23,152.1,151,246,0,151,54.5,6,0,1,0.1,57,
Tom,Ince,2,1,82,2450,39,331.3,253,794,3,269,138,7,0,0,0.4,55,
Danny,Williams,0,0,28,1115,22,83,131.4,56,0,134,27,0,0,2,0,48,
Collin,Quaner,0,4,44,1268,23,255.7,209,283,0,173,74.8,3,0,4,4.8,45,
Laurent,Depoitre,6,2,94,1807,34,191.4,352,451,14,283,99.6,4,0,1,2.6,50,
Steve,Mounie,7,2,92,1849,32,270.7,377,600,12,269,124.5,6,0,2,1.7,55,
Scott,Malone,0,1,41,1110,23,146.8,221.6,97,4,211,46.5,3,0,3,0.2,43,
Florent,Hadergjonaj,0,1,51,1670,28,381.8,310,95,5,274,78.8,4,0,3,0.1,45,
Abdelhamid,Sabiri,0,1,10,217,5,40.6,30.8,53,0,30,12.4,1,0,1,0,47,
Robert,Green,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,40,
Terence,Kongolo,0,0,30,1047,14,52.2,268,47,2,182,36.7,2,0,0,0,44,
Alex,Pritchard,1,2,40,997,12,300.3,173.6,213,3,168,68.7,3,0,1,0.1,54,
Kasper,Schmeichel,0,0,123,2965,47,11.1,687.2,0,17,592,69.9,8,0,3,4.1,51,
Ben,Hamer,0,0,9,274,7,0,51.8,0,0,54,5.1,1,0,0,0.1,43,
Wes,Morgan,0,0,61,2817,52,62,530,158,1,390,75.1,5,0,4,2.9,44,
Christian,Fuchs,0,1,57,1917,35,282.2,396.6,55,8,370,73.5,4,0,1,1.9,47,
Danny,Simpson,0,0,55,2306,41,121.2,444.2,42,0,342,60.7,5,0,4,2.2,43,
Robert,Huth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,48,
Yohan,Benalouane,0,0,1,90,2,1.3,24.8,18,0,7,4.4,0,0,0,0.1,42,
Benjamin,Chilwell,0,2,65,1848,30,332.1,382.8,63,4,381,78,6,1,1,3.1,44,
Harry,Maguire,2,4,117,3420,60,254.3,955.8,478,10,716,168.8,9,0,7,10.9,55,
Riyad,Mahrez,12,13,195,2948,51,924,966,932,19,682,282.6,9,0,2,8.2,87,
Marc,Albrighton,2,8,107,2533,42,718.3,580,300,12,458,160.2,8,1,5,2.2,55,
Demarai,Gray,3,3,80,1683,35,412.8,290.6,461,2,308,116.7,4,0,2,0.6,53,
Daniel,Amartey,0,0,13,486,7,10.3,81.2,0,0,53,9.2,3,1,0,0.2,43,
Nampalys,Mendy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,
Wilfred,Ndidi,0,4,78,2896,45,230.7,640.4,299,4,449,117.2,9,2,6,0.4,49,
Ahmed,Musa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,61,
Vicente,Iborra,3,0,58,1411,23,131.6,341.6,150,6,293,62.3,3,0,0,0.1,57,
Jamie,Vardy,20,2,183,3248,57,439.9,822.8,1222,28,674,248.6,8,0,3,21.7,88,
Shinji,Okazaki,6,3,76,1314,19,228.1,347.6,508,7,275,107.9,5,0,2,2.9,53,
Kelechi,Iheanacho,3,4,54,818,17,185.6,214.2,350,5,171,74.5,1,0,2,0.8,65,
Eldin,Jakupovic,0,0,4,180,6,0,67.8,0,0,36,6.8,0,0,0,0.1,42,
Matty,James,0,0,26,991,15,52.7,114.6,145,0,121,31.4,4,0,2,0.2,44,
Aleksandar,Dragovic,0,0,28,766,14,3.6,177.8,35,0,166,21.8,4,0,2,0.1,49,
Hamza,Choudhury,0,1,13,375,9,20.2,68,16,0,60,10.4,0,0,1,0,44,
George,Thomas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,
Adrien Sebastian,Perruchet Silva,0,2,23,760,18,120,133.2,65,0,128,31.8,1,0,3,0,59,
Fousseni,Diabaté,0,1,21,579,12,130.8,98.6,67,0,72,29.7,0,0,1,0.1,49,
Harvey,Barnes,0,0,3,8,0,1,0.2,6,0,8,0.6,0,0,0,0,45,
Sam,Hughes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,
Layton,Ndukwu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,
Alex,Oxlade-Chamberlain,3,7,94,1718,28,625.1,548,494,5,423,166.5,5,0,3,2.2,55,
Simon,Mignolet,0,0,67,1710,24,0,281,0,0,329,28,7,0,3,1.1,47,
Loris,Karius,0,0,88,1710,14,0,280.6,0,5,382,27.9,10,0,1,1.9,49,
Dejan,Lovren,2,1,110,2124,24,104.5,656.4,242,10,539,100.2,11,0,4,1.5,53,
Alberto,Moreno,0,1,52,1264,19,250.1,261.8,106,3,328,61.7,6,0,1,1.2,43,
Nathaniel,Clyne,0,0,7,173,1,23.8,21.8,41,0,25,8.7,1,0,1,0.3,53,
Joseph,Gomez,0,2,86,1901,22,285.6,437.4,46,9,480,76.9,9,0,3,2.2,45,
Joel,Matip,1,0,81,1995,27,96.1,544.8,140,3,470,78.1,9,0,3,1.7,54,
Ragnar,Klavan,1,0,78,1449,15,65,357.2,43,9,384,46.6,8,0,0,1.8,41,
James,Milner,0,3,77,1759,25,615.5,437.2,272,4,459,132.5,6,0,3,2.5,60,
Trent,Alexander-Arnold,1,2,83,1573,17,399.2,358.2,142,10,385,90.1,8,0,3,5.5,44,
Leiva,Lucas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,
Jordan,Henderson,1,1,75,2169,21,448.8,417,110,3,382,97.8,14,0,1,1.2,53,
Philippe,Coutinho,7,7,103,1109,14,624.4,550.4,519,15,381,169.4,5,0,0,3,91,
Emre,Can,3,6,92,2089,29,426.4,546.4,231,10,499,120.6,8,0,8,4,49,
Adam,Lallana,0,0,13,234,1,113.4,32.6,128,0,37,27.3,1,0,1,0.3,73,
Oluwaseyi,Ojo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,
Sadio,Mané,10,8,147,2189,24,739.1,677.4,964,8,499,238,15,1,3,8.5,94,
Marko,Grujic,0,0,3,14,0,11.7,7.4,0,0,9,1.9,0,0,0,0.4,42,
Georginio,Wijnaldum,1,2,85,2381,23,356.2,341.8,399,1,406,109.9,15,0,1,2.2,66,
Ben,Woodburn,0,0,1,6,0,2.3,0.4,2,0,3,0.5,0,0,0,0.3,42,
Mohamed,Salah,32,12,303,2905,29,942.5,1496.2,2109,26,881,454.4,15,0,1,56.7,106,
Roberto,Firmino,15,8,181,2760,32,834.5,951,1341,29,758,312.7,16,0,1,36.1,95,
Danny,Ings,1,1,18,262,0,42,57.8,143,0,53,24,3,0,0,0.2,54,
Divock,Origi,0,0,1,9,1,0,0,0,0,3,0,0,0,0,0.2,74,
Dominic,Solanke,1,2,38,581,4,199.4,123.8,350,2,107,66.4,3,0,0,1.6,46,
Virgil,van Dijk,0,0,78,2253,28,122.6,601,277,5,481,100.2,8,0,1,7.3,57,
Andrew,Robertson,1,5,111,1940,18,414.5,424,174,12,514,101.3,10,0,2,7.4,50,
Jon,Flanagan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,
Danny,Ward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,
Conor,Masterson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,
